17 Postenkm09;Schrankenposten
Betonbruecke 44m;Straßenbrücke
Driburg-16-8;Einfamilienhaus,DachRot,FassadeWeiss
DriburgAthen;Stadthaus,FassadeZiegel
DriburgDreizehnlindenKlinik;Hochhaus
DriburgEG;Empfangsgebäude
DriburgEmmerich-Haus;Industrie
DriburgEmmerich-Schuppen;Industrie,Tanklager
DriburgGueterschuppen;Güterschuppen
DriburgHaus09a;Stadthaus,Mehrfamilienhaus,DachRot,FassadeBeige
DriburgHaus09b;Mehrfamilienhaus,DachRot,FassadeWeiss
DriburgHaus09c;Einfamilienhaus,DachRot,FassadeWeiss
DriburgHaus16a;Mehrfamilienhaus,DachBraun,FassadeWeiss
DriburgHaus16b;Zweifamilienhaus,DachBraun,FassadeWeiss,Doppelhaus
DriburgHaus16c;Mehrfamilienhaus,DachSchwarz,FassadeWeiss
DriburgHausnebenAthen;Mehrfamilienhaus,DachGrau,FassadeWeiss
DriburgHinterTeutohof;Hochhaus,Büro
DriburgHoeltring;Industrie
DriburgLagerhaus;Industrie
DriburgNebenEG;Empfangsgebäude
DriburgPrott;Industrie
DriburgSaabel;Industrie
DriburgStellwerkDo;Stellwerk
DriburgStellwerkDwf;Stellwerk
DriburgTeutoburgerHof;Hotel
DriburgVerkehrsamt;Pavillon
DriburgVerwaltung;Büro
DriburgWerkstatt;Industrie,Bahnmeisterei,Bahnbude,Werkstatt
Driburg Haus1;Einfamilienhaus,DachRot,FassadeWeiss
Driburg Haus2;Mehrfamilienhaus,DachRot,FassadeWeiss
Driburg Haus3;Einfamilienhaus,DachGrau,FassadeWeiss
Driburg Haus4;Einfamilienhaus,DachRot,FassadeBeige
Driburg Haus5;Mehrfamilienhaus,DachSchwarz,FassadeGelb
Driburg Haus6;Mehrfamilienhaus,FassadeZiegel,MitBalkon,DachSchwarz,FassadeRot
Driburg Haus7;Mehrfamilienhaus,DachSchwarz,FassadeWeiss
FAamGs;Zugfunk
Luecking;Industrie
Menke;Industrie
Schalt-Bahnfunk;Schalthaus
03-Schuppen;Schuppen,Stall,DachRot,FassadeHolz
07-Schuppen;Stall,Schuppen,FassadeHolz
08-Schuppen;Stall,Schuppen,DachRot,FassadeHolz
09-Schuppen;Schuppen,Scheune,FassadeHolz
10-Schuppen;Schuppen,Scheune,FassadeHolz
BK Erpentrup;Stellwerk
Bruchbude;Industrie,FassadeZiegel
BrueckeLo;Brücke
Durchlass06;Durchlass
FA-Langeland;Zugfunk
Haus 2448;Einfamilienhaus,Garten,DachSchwarz,FassadeWeiss
Haus 2462;Mehrfamilienhaus,Gewerbe,Stadthaus,DachRot,FassadeGrau
Haus 2478;Einfamilienhaus,FassadeGrau,DachBraun
LangelandStwLo;Stellwerk
LangelandStwLwf;Stellwerk
Nische 5m;Tunnel,Tunnelnische
ReelsenDurchlass;Durchlass
ReelsenEG;Empfangsgebäude,Schuppen
ReelsenHaus10;Garage,DachRot,FassadeWeiss
ReelsenHausSommer;Zweifamilienhaus,FassadeGelb
ReelsenKirche;Kirche
ReelsenTunnelNord;Tunnel
ReelsenTunnelSued;Tunnel
RehbergtunnelOst;Tunnel
17 durchlass;Durchlass
Alt-Bek-GHZ-2020;Mehrfamilienhaus,Gewerbe,Stadthaus,Reihenhaus,FassadeGrau,DachRot
Alt-Bek-GHZ-2021;Mehrfamilienhaus,Gewerbe,Stadthaus,Reihenhaus,DachRot,FassadeGrau
Alt-Bek-GHZ-202120;Mehrfamilienhaus,Gewerbe,Stadthaus,Reihenhaus,DachRot,FassadeGrau
Alt-Bek-GHZ-2120;Gewerbe,Mehrfamilienhaus,DachRot,FassadeGrau
Alt-Bek-Haus1-1;Zweifamilienhaus,Büro,DachRot,FassadeGrau
Alt-Bek-Haus10-6;Mehrfamilienhaus,DachRot,FassadeRot
Alt-Bek-Haus2-1;Zweifamilienhaus,DachRot,FassadeGrau
Alt-Bek-Haus2-2;Zweifamilienhaus,DachRot
Alt-Bek-Haus20-1;Gewerbe,Mehrfamilienhaus,DachRot
Alt-Bek-Haus21-1;Gewerbe,Mehrfamilienhaus,Reihenhaus,Stadthaus
Alt-Bek-Haus26-6;Einfamilienhaus,MitGarage,DachBraun,FassadeRot
Alt-Bek-Haus3-1;Einfamilienhaus,DachRot,FassadeGrau,FassadeWeiss
Alt-Bek-Haus4-1;Einfamilienhaus,DachRot,FassadeGrau,FassadeWeiss
Alt-Bek-Haus5-1;Mehrfamilienhaus,Gewerbe,Stadthaus,DachRot,FassadeGrau
Alt-Bek-Haus6-1;Einfamilienhaus,DachRot,FassadeGrau,FassadeWeiss
Alt-Bek-Haus7-1;Zweifamilienhaus,Gewerbe,DachRot,FassadeGrau,Stadthaus
Alt-Bek-Haus8-1;DachRot,FassadeGrau,Zweifamilienhaus
Altbek-EckSchu;Lokschuppen
Altbek-Muehle;Industrie,Mühle
Altbek-Sand;Betriebswerk,Industrie
Altbk-Abgang22-23;Bahnsteig,Treppe
AltenbekenBudeAbzwNord;Bahnbude
Altenbekenuebernacht;Fachwerk,Gewerbe,DachGrau
BW-Baracke;Bahnbude,Schuppen,FassadeGelb
Bruecke 1;Brücke
Bruecke 2;Brücke
Bruecke 3;Straßenbrücke
BudeAmAbzwSued;Bahnbude,Schuppen,Fernsprecher,FassadeZiegel
BwGebaeude;Bahnbude,Schuppen,FassadeGrün
DS-Altbek;Drehscheibe
Eg-Altbk;Empfangsgebäude
FA-Altbek;Zugfunk
Gl-Drei-H62+H63;Einfamilienhaus,MitGarage,Garten
Gl-Drei-Haus01;Zweifamilienhaus,Garten,MitGarage
Gl-Drei-Haus03;Einfamilienhaus,Garten,MitGarage,DachRot,FassadeGrau
Gl-Drei-Haus04;Einfamilienhaus,Garten,MitGarage,DachSchwarz,FassadeGrau
Gl-Drei-Haus06;Einfamilienhaus,Garten,MitGarage,DachRot,FassadeGrau
Gl-Drei-Haus08;Einfamilienhaus,DachRot,FassadeGrau
Gl-Drei-Haus09;Einfamilienhaus,Garten,MitGarage,DachRot,FassadeWeiss,MitBalkon
Gl-Drei-Haus2;Einfamilienhaus,Garten,FassadeGrau,DachGrau,MitBalkon
Gl-Drei-Haus21;Einfamilienhaus,MitGarage,FassadeGelb,DachBraun
Gl-Drei-Haus22;Zweifamilienhaus,Doppelhaus,DachRot,FassadeGrau
Gl-Drei-Haus23;Einfamilienhaus,DachRot,FassadeGrau
Gl-Drei-Haus24;Einfamilienhaus,Doppelhaus,MitGarage,DachRot,DachBraun,FassadeGrau
Gl-Drei-Haus41;Zweifamilienhaus,Garten,DachBraun,FassadeGrau
Gl-Drei-Haus42;Zweifamilienhaus,MitBalkon,Garten,DachGrau,FassadeGrau
Gl-Drei-Haus43;Einfamilienhaus,DachRot,FassadeZiegel
Gl-Drei-Haus61;Doppelhaus,FassadeGelb,DachBraun,DachRot,Gewerbe
Gl-Drei-Haus62;Einfamilienhaus,Doppelhaus,Garten,DachBraun,FassadeGrau
Gl-Drei-Haus63;Einfamilienhaus,MitGarage,DachBraun,FassadeBeige
Gl-Drei-Haus64;Einfamilienhaus,DachSchwarz,FassadeGrau
Gueterschuppen;Güterschuppen
HausBollerborn;Hochhaus,Stadthaus,MitGarage
HausBollerborn02;Einfamilienhaus,MitGarage,DachRot,FassadeBeige
HausBollerborn03;Einfamilienhaus,MitGarage,DachRot,FassadeBeige
HausBollerborn04;Einfamilienhaus,FassadeWeiss,DachRot
HausBollerborn05;Einfamilienhaus,MitGarage,DachRot,FassadeBeige,Walmdach
HausBollerborn06;Einfamilienhaus,DachRot,FassadeWeiss,MitGarage
Haus 102;Einfamilienhaus,DachGrau,Garten,FassadeGrau
